persona,model,Q1value,Q2value,Q3value,Q4value
p1,DeepSeek-R1,53.333333333333336,72.66666666666667,31.5,38.833333333333336
p1,DeepSeek-V3,64.33333333333333,60.333333333333336,34.333333333333336,32.0
p1,DeepSeek-V3-0324,63.833333333333336,64.5,40.5,37.666666666666664
p1,Llama-3.3-70B-Instruct-Turbo,60.0,55.333333333333336,40.0,31.0
p1,Llama-4-Maverick-17B,80.0,60.0,24.0,43.333333333333336
p1,Llama-4-Scout-17B,80.0,64.21052631578948,11.052631578947368,24.210526315789473
p1,Qwen2.5-VL-7B-Instruct,85.0,36.666666666666664,13.10344827586207,18.620689655172413
p1,Qwen3-235B-A22B-FP8,81.19047619047619,67.52380952380952,29.5,25.0
p1,claude-3-5-haiku-20241022,74.83333333333333,60.666666666666664,25.666666666666668,25.0
p1,claude-3-5-sonnet-20241022,68.66666666666667,74.66666666666667,45.666666666666664,46.0
p1,claude-3-7-sonnet-20250219,63.0,70.5,40.333333333333336,34.333333333333336
p1,claude-3-haiku-20240307,65.5,60.5,41.666666666666664,61.333333333333336
p1,gemini-2.0-flash,66.0,59.833333333333336,37.0,43.333333333333336
p1,gemini-2.0-flash-lite,75.0,46.0,24.0,17.5
p1,gemini-2.0-flash-thinking-exp,52.758620689655174,45.3448275862069,31.896551724137932,36.03448275862069
p1,gemini-2.0-pro-exp,62.5,65.22727272727273,31.818181818181817,33.40909090909091
p1,gemini-2.5-flash-preview-04-17,47.291666666666664,48.333333333333336,37.291666666666664,39.791666666666664
p1,gemini-2.5-pro-preview-03-25,68.75,63.333333333333336,23.958333333333332,27.916666666666668
p1,gemma-3-12b-it,60.0,53.333333333333336,32.333333333333336,21.0
p1,gemma-3-1b-it,66.66666666666667,81.66666666666667,71.33333333333333,55.333333333333336
p1,gemma-3-27b-it,66.33333333333333,45.333333333333336,31.0,30.333333333333332
p1,gemma-3-4b-it,75.0,61.5,30.833333333333332,36.666666666666664
p1,gpt-4.1,66.16666666666667,67.83333333333333,38.833333333333336,26.666666666666668
p1,gpt-4.1-mini,58.0,54.166666666666664,40.833333333333336,34.333333333333336
p1,gpt-4.1-nano,74.5,57.333333333333336,20.666666666666668,25.166666666666668
p1,gpt-4o,71.33333333333333,68.66666666666667,28.666666666666668,26.166666666666668
p1,gpt-4o-mini,73.5,50.166666666666664,29.333333333333332,22.5
p1,grok-2-latest,75.0,62.333333333333336,24.0,22.166666666666668
p1,grok-3-fast-latest,61.5,57.0,32.333333333333336,27.333333333333332
p1,grok-3-latest,61.833333333333336,58.833333333333336,33.333333333333336,30.833333333333332
p1,grok-3-mini-fast-latest,60.0,49.833333333333336,32.666666666666664,34.333333333333336
p1,grok-3-mini-latest,61.0,48.666666666666664,33.0,34.666666666666664
p1,o1-mini,60.333333333333336,60.833333333333336,46.166666666666664,53.666666666666664
p1,o3,65.93333333333334,59.733333333333334,37.03333333333333,34.9
p1,o3-mini,77.66666666666667,65.1,21.5,33.5
p1,o4-mini,59.58620689655172,59.3448275862069,34.55172413793103,27.862068965517242
p2,DeepSeek-R1,58.5,78.33333333333333,32.0,39.166666666666664
p2,DeepSeek-V3,67.0,57.666666666666664,31.666666666666668,34.166666666666664
p2,DeepSeek-V3-0324,63.0,64.16666666666667,34.666666666666664,39.666666666666664
p2,Llama-3.3-70B-Instruct-Turbo,60.0,54.333333333333336,38.333333333333336,32.666666666666664
p2,Llama-4-Maverick-17B,80.0,52.666666666666664,23.666666666666668,45.666666666666664
p2,Llama-4-Scout-17B,80.0,85.45454545454545,12.727272727272727,40.0
p2,Qwen2.5-VL-7B-Instruct,85.0,36.666666666666664,13.333333333333334,20.0
p2,Qwen3-235B-A22B-FP8,78.46153846153847,70.96153846153847,39.42307692307692,30.789473684210527
p2,claude-3-5-haiku-20241022,75.0,61.5,29.0,27.666666666666668
p2,claude-3-5-sonnet-20241022,68.33333333333333,73.33333333333333,47.333333333333336,42.833333333333336
p2,claude-3-7-sonnet-20250219,60.333333333333336,68.16666666666667,40.5,34.0
p2,claude-3-haiku-20240307,69.33333333333333,63.0,42.666666666666664,63.666666666666664
p2,gemini-2.0-flash,58.333333333333336,58.0,36.833333333333336,44.666666666666664
p2,gemini-2.0-flash-lite,63.5,51.0,29.666666666666668,23.666666666666668
p2,gemini-2.0-flash-thinking-exp,53.148148148148145,40.74074074074074,31.48148148148148,37.592592592592595
p2,gemini-2.0-pro-exp,70.0,30.0,10.0,20.0
p2,gemini-2.5-flash-preview-04-17,50.535714285714285,40.357142857142854,32.5,43.57142857142857
p2,gemini-2.5-pro-preview-03-25,64.6,63.0,27.8,35.4
p2,gemma-3-12b-it,61.666666666666664,55.0,32.166666666666664,25.333333333333332
p2,gemma-3-1b-it,65.66666666666667,81.56666666666666,73.9,59.0
p2,gemma-3-27b-it,65.0,46.666666666666664,33.166666666666664,33.0
p2,gemma-3-4b-it,75.0,60.833333333333336,27.333333333333332,37.0
p2,gpt-4.1,66.66666666666667,69.33333333333333,39.0,27.166666666666668
p2,gpt-4.1-mini,58.833333333333336,53.166666666666664,39.0,34.333333333333336
p2,gpt-4.1-nano,75.5,59.666666666666664,21.0,20.666666666666668
p2,gpt-4o,68.83333333333333,64.33333333333333,25.333333333333332,26.166666666666668
p2,gpt-4o-mini,74.16666666666667,51.5,29.0,20.0
p2,grok-2-latest,76.0,64.33333333333333,25.0,24.333333333333332
p2,grok-3-fast-latest,62.5,57.333333333333336,32.5,33.0
p2,grok-3-latest,62.166666666666664,57.0,33.333333333333336,32.0
p2,grok-3-mini-fast-latest,60.5,49.5,32.5,35.0
p2,grok-3-mini-latest,60.833333333333336,48.666666666666664,33.5,36.333333333333336
p2,o1-mini,60.833333333333336,58.166666666666664,46.333333333333336,51.833333333333336
p2,o3,68.13333333333334,62.63333333333333,35.93333333333333,35.06666666666667
p2,o3-mini,77.5,65.33333333333333,17.833333333333332,26.333333333333332
p2,o4-mini,61.0,61.166666666666664,32.333333333333336,29.333333333333332
p3,DeepSeek-R1,57.5,74.83333333333333,36.833333333333336,39.166666666666664
p3,DeepSeek-V3,67.5,62.166666666666664,31.666666666666668,36.166666666666664
p3,DeepSeek-V3-0324,64.16666666666667,66.16666666666667,42.666666666666664,41.333333333333336
p3,Llama-3.3-70B-Instruct-Turbo,60.0,59.666666666666664,38.666666666666664,30.0
p3,Llama-4-Maverick-17B,80.0,58.666666666666664,27.0,50.666666666666664
p3,Llama-4-Scout-17B,80.0,63.529411764705884,13.529411764705882,27.058823529411764
p3,Qwen2.5-VL-7B-Instruct,85.0,36.333333333333336,9.5,10.0
p3,Qwen3-235B-A22B-FP8,80.66666666666667,71.14814814814815,35.925925925925924,34.72727272727273
p3,claude-3-5-haiku-20241022,69.16666666666667,62.666666666666664,35.166666666666664,32.833333333333336
p3,claude-3-5-sonnet-20241022,68.33333333333333,74.33333333333333,47.833333333333336,42.833333333333336
p3,claude-3-7-sonnet-20250219,63.666666666666664,69.66666666666667,39.666666666666664,33.0
p3,claude-3-haiku-20240307,64.66666666666667,63.333333333333336,43.0,60.666666666666664
p3,gemini-2.0-flash,59.48275862068966,60.0,37.58620689655172,49.6551724137931
p3,gemini-2.0-flash-lite,76.0,48.166666666666664,31.333333333333332,21.833333333333332
p3,gemini-2.0-flash-thinking-exp,54.57142857142857,51.535714285714285,36.892857142857146,45.892857142857146
p3,gemini-2.5-flash-preview-04-17,55.689655172413794,52.41379310344828,36.206896551724135,42.58620689655172
p3,gemini-2.5-pro-preview-03-25,65.41666666666667,66.04166666666667,31.041666666666668,32.083333333333336
p3,gemma-3-12b-it,65.0,59.166666666666664,34.833333333333336,26.5
p3,gemma-3-1b-it,23.0,82.0,77.0,88.0
p3,gemma-3-27b-it,65.0,46.666666666666664,35.833333333333336,34.333333333333336
p3,gemma-3-4b-it,78.33333333333333,66.13333333333334,45.166666666666664,34.666666666666664
p3,gpt-4.1,63.5,65.66666666666667,39.5,27.166666666666668
p3,gpt-4.1-mini,57.833333333333336,54.0,41.333333333333336,34.333333333333336
p3,gpt-4.1-nano,79.16666666666667,61.833333333333336,23.333333333333332,26.0
p3,gpt-4o,63.5,68.83333333333333,33.5,28.333333333333332
p3,gpt-4o-mini,70.83333333333333,50.666666666666664,35.333333333333336,25.5
p3,grok-2-latest,76.66666666666667,69.33333333333333,27.0,24.333333333333332
p3,grok-3-fast-latest,63.333333333333336,69.33333333333333,40.833333333333336,36.0
p3,grok-3-latest,63.833333333333336,68.33333333333333,38.666666666666664,35.5
p3,grok-3-mini-fast-latest,60.333333333333336,52.833333333333336,34.333333333333336,36.833333333333336
p3,grok-3-mini-latest,64.0,53.5,35.5,38.833333333333336
p3,o1-mini,61.333333333333336,60.166666666666664,49.166666666666664,57.333333333333336
p3,o3,63.63333333333333,63.8,37.8,37.1
p3,o3-mini,76.33333333333333,65.5,24.666666666666668,34.833333333333336
p3,o4-mini,59.93333333333333,61.0,32.833333333333336,29.666666666666668
p4,DeepSeek-R1,51.333333333333336,71.16666666666667,30.0,35.833333333333336
p4,DeepSeek-V3,61.666666666666664,51.5,33.666666666666664,33.0
p4,DeepSeek-V3-0324,60.333333333333336,62.333333333333336,34.666666666666664,38.0
p4,Llama-3.3-70B-Instruct-Turbo,60.0,55.666666666666664,40.0,28.333333333333332
p4,Llama-4-Maverick-17B,73.33333333333333,45.333333333333336,32.0,37.666666666666664
p4,Llama-4-Scout-17B,80.0,72.0,11.666666666666666,27.666666666666668
p4,Qwen2.5-VL-7B-Instruct,85.0,35.333333333333336,13.333333333333334,21.333333333333332
p4,Qwen3-235B-A22B-FP8,82.2,67.0,28.125,25.217391304347824
p4,claude-3-5-haiku-20241022,74.16666666666667,55.666666666666664,36.333333333333336,33.5
p4,claude-3-5-sonnet-20241022,65.0,69.33333333333333,45.0,40.166666666666664
p4,claude-3-7-sonnet-20250219,60.333333333333336,69.66666666666667,40.0,33.333333333333336
p4,claude-3-haiku-20240307,70.0,63.333333333333336,39.0,56.333333333333336
p4,gemini-2.0-flash,58.333333333333336,57.333333333333336,36.666666666666664,40.666666666666664
p4,gemini-2.0-flash-lite,71.16666666666667,38.5,24.166666666666668,13.166666666666666
p4,gemini-2.0-flash-thinking-exp,48.57142857142857,39.82142857142857,31.25,38.57142857142857
p4,gemini-2.5-flash-preview-04-17,45.17857142857143,36.42857142857143,31.785714285714285,37.857142857142854
p4,gemini-2.5-pro-preview-03-25,55.38461538461539,57.30769230769231,28.46153846153846,35.57692307692308
p4,gemma-3-12b-it,58.333333333333336,52.333333333333336,31.666666666666668,25.0
p4,gemma-3-1b-it,30.0,75.66666666666667,78.0,47.333333333333336
p4,gemma-3-27b-it,61.666666666666664,46.666666666666664,28.666666666666668,30.333333333333332
p4,gemma-3-4b-it,71.66666666666667,51.333333333333336,26.333333333333332,35.833333333333336
p4,gpt-4.1,58.5,59.0,37.5,26.166666666666668
p4,gpt-4.1-mini,56.333333333333336,49.833333333333336,36.0,32.833333333333336
p4,gpt-4.1-nano,71.16666666666667,56.666666666666664,16.666666666666668,19.333333333333332
p4,gpt-4o,64.0,65.0,30.166666666666668,26.0
p4,gpt-4o-mini,69.33333333333333,44.333333333333336,28.833333333333332,21.666666666666668
p4,grok-2-latest,60.0,41.333333333333336,29.666666666666668,27.333333333333332
p4,grok-3-fast-latest,58.333333333333336,48.666666666666664,30.333333333333332,27.666666666666668
p4,grok-3-latest,57.833333333333336,49.0,30.0,28.166666666666668
p4,grok-3-mini-fast-latest,58.833333333333336,48.333333333333336,30.0,36.166666666666664
p4,grok-3-mini-latest,58.333333333333336,47.666666666666664,29.666666666666668,36.0
p4,o1-mini,51.833333333333336,53.5,43.166666666666664,52.0
p4,o3,61.6,58.233333333333334,35.43333333333333,32.93333333333333
p4,o3-mini,72.33333333333333,61.833333333333336,19.833333333333332,28.833333333333332
p4,o4-mini,57.166666666666664,54.5,32.666666666666664,29.6
